#N0=N1              TransposeMPI
4                   0.0014629
4                   0.0014968
4                   0.0015590
4                   0.0015669
4                   0.0015941
4                   0.0016191
4                   0.0016320
4                   0.0016420
4                   0.0016541
4                   0.0017211
8                   0.0012782
8                   0.0015130
8                   0.0015261
8                   0.0015490
8                   0.0015619
8                   0.0015910
8                   0.0016599
8                   0.0016851
8                   0.0032539
8                   0.0034461
16                  0.0012629
16                  0.0012891
16                  0.0013790
16                  0.0014222
16                  0.0014701
16                  0.0015070
16                  0.0015552
16                  0.0016131
16                  0.0017302
16                  0.0035410
32                  0.0013628
32                  0.0014601
32                  0.0015130
32                  0.0015440
32                  0.0015559
32                  0.0016029
32                  0.0016100
32                  0.0016210
32                  0.0034111
32                  0.0036769
64                  0.0013020
64                  0.0013039
64                  0.0014281
64                  0.0014791
64                  0.0014930
64                  0.0015059
64                  0.0015280
64                  0.0015771
64                  0.0016329
64                  0.0016770
128                 0.0017369
128                 0.0017650
128                 0.0017719
128                 0.0018771
128                 0.0019600
128                 0.0019641
128                 0.0020490
128                 0.0022361
128                 0.0022519
128                 0.0038018
256                 0.0020709
256                 0.0023470
256                 0.0023670
256                 0.0023792
256                 0.0024810
256                 0.0025041
256                 0.0025609
256                 0.0025640
256                 0.0026350
256                 0.0027220
512                 0.0046141
512                 0.0047591
512                 0.0047629
512                 0.0047700
512                 0.0048530
512                 0.0050611
512                 0.0066309
512                 0.0067029
512                 0.0068099
512                 0.0074890
1024                0.0157571
1024                0.0159681
1024                0.0160210
1024                0.0167341
1024                0.0168850
1024                0.0170069
1024                0.0171831
1024                0.0173891
1024                0.0175762
1024                0.0176642
2048                0.0557508
2048                0.0563228
2048                0.0565598
2048                0.0572731
2048                0.0573351
2048                0.0574741
2048                0.0582530
2048                0.0583160
2048                0.0588019
2048                0.0602100
4096                0.2474689
4096                0.2520719
4096                0.2523129
4096                0.2553990
4096                0.2584140
4096                0.2615509
4096                0.2651219
4096                0.2655101
4096                0.2735720
4096                0.4642551
8192                1.1104832
8192                1.1121681
8192                1.1167710
8192                1.1189351
8192                1.1267800
8192                1.1314690
8192                1.1323552
8192                1.1327479
8192                1.1398201
8192                1.2457061
16384               4.4942570
16384               4.5131421
16384               4.5213659
16384               4.5313771
16384               4.5352280
16384               4.5373509
16384               4.5465961
16384               4.5817101
16384               4.5874989
16384               4.5988350
32768               18.0701721
32768               18.0846531
32768               18.2541111
32768               18.2615640
32768               18.2647700
32768               18.3042281
32768               18.4642730
32768               18.4975381
32768               18.4982030
32768               19.6549070
